Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Arable land (hectares),AG.LND.ARBL.HA,Syrian Arab Republic,SYR,..,6146000,6200000,6300000,6410000,6342000,5873000,5876000,5577000,5625000,5651000,5647000,5711000,5550000,5682000,5125000,5260000,5083000,5149000,5230000,5230000,5275000,5288000,5082000,5104000,5038000,5013000,4980000,4812000,4798000,4885000,4804000,4766000,4771000,4812000,4799000,4739000,4771000,4709000,4701000,4542000,4635000,4593000,4625000,4757000,4675000,4670000,4736000,4699000,4670000,4687000,4662000,4665000,4662000,4661000,4665000,4664600,4668450,4662323,4658153,4660617,4530044.5,4399000,4400000,..
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66,..,..,..,77,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.7528073510353,11.348884457508,11.0206499428304,10.6201020310685,8.14583073472848,13.2440156254443,12.6946096863472,9.89031227736687,9.52420795529497,9.01193677786277,8.62801729259398,8.58197728756705,8.41732921101042,8.30039418124873,7.92065602117773,7.7905845916095,7.19676881232675,6.85797392533325,6.66963612394679,6.70568833724388,6.57398382604227,2.80453685831054,3.14323639980766,3.50752531674629,6.11396962501422,6.41372625245628,7.14035097089036,5.44483008826776,5.60806812615823,5.44171668561827,5.18910627193193,..,..,..,..
"Armed forces personnel, total",MS.MIL.TOTL.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,402500,..,..,..,400000,408000,408000,408000,408000,320000,531000,529000,428000,428000,424000,424800,429000,427000,427000,415000,416000,401000,401000,401000,403000,403000,178000,178000,178000,280500,277500,307500,239000,257500,269000,269000,..,..,..,..
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,17000000,..,..,..,2000000,2000000,..,0,..,..,..,..,178000000,46000000,1000000,32000000,31000000,..,15000000,..,..,..,40000000,40000000,..,..,0,0,..,..,..,..,..,..,..,..,3000000,..,..,33000000,30000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Syrian Arab Republic,SYR,38000000,27000000,35000000,89000000,65000000,100000000,525000000,905000000,829000000,875000000,870000000,735000000,1517000000,3282000000,3410000000,1411000000,527000000,931000000,871000000,2045000000,1867000000,1349000000,1989000000,2241000000,1817000000,1581000000,1267000000,1409000000,1312000000,663000000,739000000,315000000,277000000,166000000,14000000,25000000,25000000,25000000,45000000,48000000,49000000,23000000,40000000,64000000,20000000,30000000,95000000,15000000,326000000,253000000,420000000,485000000,529000000,496000000,7000000,16000000,18000000,52000000,199000000,104000000,80000000,7000000,..,..,..
Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2638,598,489,931,771,1888,5187,5862,2237,3054,2435,1813,2216,2480,2747,5248,12484,18098,18631,12065,8769,8765,5538,4861,4767
Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3730,3853,4264,3548,3781,6992,7493,6849,5978,5559,9739,14441,26016,41019,79649,245857,184337,147179,139576,118450,107085,139754,156621,182954,167334
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,2.32071223913058,7.13144585198844,7.52896295600693,7.86832449060295,8.22173632822762,..,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Syrian Arab Republic,SYR,..,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,..,..
Average time to clear exports through customs (days),IC.CUS.DURS.EX,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Average time to clear imports through customs (days),IC.CUS.DURS.IM,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.617117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.71429,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.47186088866897,8.72110045155639,9.82434874093726,12.3479355880736,10.3675251880042,12.6308100966206,18.7791761815447,21.4567239192211,25.445955108116,22.8955709676537,14.3325541529732,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Battle-related deaths (number of people),VC.BTL.DETH,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,1203,50481,72010,66057,51079,44938,25032,13246,7539,4862,1523,966,1664,..
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.51281044041235,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.51281044041235,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,..,..,..,18,..,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Syrian Arab Republic,SYR,47.383,47.31,47.177,46.982,46.871,46.731,46.666,46.526,46.47,46.396,46.456,46.206,45.935,45.732,45.614,45.475,45.372,45.304,44.911,44.362,43.737,42.967,42.18,41.872,41.543,41.306,40.955,40.3,39.386,38.263,37.291,36.299,35.414,34.997,34.585,33.986,33.253,32.454,31.952,31.548,31.204,30.744,30.133,29.577,29.117,28.828,28.273,29.074,30.464,29.249,28.673,28.11,27.722,26.868,23.784,21.298,19.619,19.585,18.932,19.717,20.64,21.172,21.234,22.107,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.9,..,..,..,..,..,..,..,..,..,..,89.7,..,91.5,..,..,96.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.3544209764162,72.6531631953835,85.3755240367563,66.4785576520319,57.1965164006049,50.1341072828394,..,..,..,..,..,..,..,..,..,..,..
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry,IC.BRE.BE.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry,IC.BRE.BE.P2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,IC.BRE.BE.P3,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Entry: Overall Score,IC.BRE.BE.OS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings,IC.BRE.BI.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,IC.BRE.BI.P2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,IC.BRE.BI.P3,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Insolvency: Overall Score,IC.BRE.BI.OS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Location Pillar 1: Quality of Regulations for Business Location,IC.BRE.BL.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Location Pillar 2: Quality of Public Services and Transparency of Information for Business Location,IC.BRE.BL.P2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location,IC.BRE.BL.P3,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Business Location: Overall Score,IC.BRE.BL.OS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,IC.BRE.DR.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution,IC.BRE.DR.P2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute,IC.BRE.DR.P3,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Dispute Resolution: Overall Score,IC.BRE.DR.OS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Financial Services Pillar 1: Quality of Regulations for Financial Services,IC.BRE.FS.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Financial Services Pillar 2: Accessibility of Information in Credit Infrastructure,IC.BRE.FS.P2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Financial Services Pillar 3: Operational Efficiency of Receiving Financial Services,IC.BRE.FS.P3,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Financial Services: Overall Score,IC.BRE.FS.OS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: International Trade Pillar 1: Quality of Regulations for International Trade,IC.BRE.IT.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade,IC.BRE.IT.P2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"B-READY: International Trade Pillar 3: Efficiency of Importing Goods, Exporting Goods, and Engaging in Digital Trade",IC.BRE.IT.P3,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: International Trade: Overall Score,IC.BRE.IT.OS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Labor Pillar 1: Quality of Labor Regulations,IC.BRE.LB.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Labor Pillar 2: Adequacy of Public Services for Labor,IC.BRE.LB.P2,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice,IC.BRE.LB.P3,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Labor: Overall Score,IC.BRE.LB.OS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
B-READY: Market Competition Pillar 1: Quality of Regulations that Promote Market Competition,IC.BRE.MC.P1,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
